Date, Session Winnings, Session Losses
Sat Apr 26 04:00:00 EDT 2025,,-2.26
Sun Apr 27 04:00:00 EDT 2025,3.67,,
Mon Apr 28 04:00:00 EDT 2025,1.45,,
Tue Apr 29 04:00:00 EDT 2025,,-6.17
Wed Apr 30 04:00:00 EDT 2025,,-7.77
Thu May 01 04:00:00 EDT 2025,7.90,,
Fri May 02 04:00:00 EDT 2025,,0.00
Sat May 03 04:00:00 EDT 2025,,0.00
Sun May 04 04:00:00 EDT 2025,0.35,,
Mon May 05 04:00:00 EDT 2025,3.13,,
Tue May 06 04:00:00 EDT 2025,,-4.00
Wed May 07 04:00:00 EDT 2025,0.64,,
Thu May 08 04:00:00 EDT 2025,6.84,,
Fri May 09 04:00:00 EDT 2025,,-0.78
Sat May 10 04:00:00 EDT 2025,,-11.21
Sun May 11 04:00:00 EDT 2025,11.21,,
Mon May 12 04:00:00 EDT 2025,,-21.53
Tue May 13 04:00:00 EDT 2025,,-4.00
Wed May 14 04:00:00 EDT 2025,,-37.00
Thu May 15 04:00:00 EDT 2025,,-5.00
Fri May 16 04:00:00 EDT 2025,2.71,,
Sat May 17 04:00:00 EDT 2025,,-4.08
Sun May 18 04:00:00 EDT 2025,11.80,,
Mon May 19 04:00:00 EDT 2025,,-1.49
Tue May 20 04:00:00 EDT 2025,3.92,,
Wed May 21 04:00:00 EDT 2025,,-12.54
Thu May 22 04:00:00 EDT 2025,22.37,,
Fri May 23 04:00:00 EDT 2025,13.50,,
Sat May 24 04:00:00 EDT 2025,8.85,,
Sun May 25 04:00:00 EDT 2025,2.47,,
Mon May 26 04:00:00 EDT 2025,0.90,,
Tue May 27 04:00:00 EDT 2025,,-3.95
Wed May 28 04:00:00 EDT 2025,,0.00
Thu May 29 04:00:00 EDT 2025,,0.00
Fri May 30 04:00:00 EDT 2025,,0.00
Sat May 31 04:00:00 EDT 2025,,-5.00
Sun Jun 01 04:00:00 EDT 2025,,-3.65
Mon Jun 02 04:00:00 EDT 2025,2.49,,
Tue Jun 03 04:00:00 EDT 2025,,-2.33
Wed Jun 04 04:00:00 EDT 2025,1.87,,
Thu Jun 05 04:00:00 EDT 2025,3.51,,
Fri Jun 06 04:00:00 EDT 2025,16.17,,
Sat Jun 07 04:00:00 EDT 2025,21.83,,
Sun Jun 08 04:00:00 EDT 2025,78.60,,
Mon Jun 09 04:00:00 EDT 2025,3.63,,
Tue Jun 10 04:00:00 EDT 2025,12.29,,
Wed Jun 11 04:00:00 EDT 2025,1.25,,
Thu Jun 12 04:00:00 EDT 2025,20.57,,
Fri Jun 13 04:00:00 EDT 2025,,-2.70
Sat Jun 14 04:00:00 EDT 2025,0.18,,
Sun Jun 15 04:00:00 EDT 2025,,-0.96
Mon Jun 16 04:00:00 EDT 2025,13.43,,
Tue Jun 17 04:00:00 EDT 2025,,-7.21
Wed Jun 18 04:00:00 EDT 2025,,-11.40
Thu Jun 19 04:00:00 EDT 2025,84.52,,
Fri Jun 20 04:00:00 EDT 2025,6.58,,
Sat Jun 21 04:00:00 EDT 2025,1.76,,
Sun Jun 22 04:00:00 EDT 2025,12.09,,
Mon Jun 23 04:00:00 EDT 2025,,-1.97
Tue Jun 24 04:00:00 EDT 2025,,-1.93
Wed Jun 25 04:00:00 EDT 2025,,-3.65
Thu Jun 26 04:00:00 EDT 2025,2.85,,
Fri Jun 27 04:00:00 EDT 2025,,-4.17
Sat Jun 28 04:00:00 EDT 2025,,-3.72
Sun Jun 29 04:00:00 EDT 2025,9.73,,
Mon Jun 30 04:00:00 EDT 2025,,-2.23
Tue Jul 01 04:00:00 EDT 2025,8.39,,
Wed Jul 02 04:00:00 EDT 2025,18.80,,
Thu Jul 03 04:00:00 EDT 2025,12.62,,
Fri Jul 04 04:00:00 EDT 2025,,-96.58
Sat Jul 05 04:00:00 EDT 2025,72.73,,
Sun Jul 06 04:00:00 EDT 2025,13.97,,
Mon Jul 07 04:00:00 EDT 2025,16.09,,
Tue Jul 08 04:00:00 EDT 2025,,-5.49
Wed Jul 09 04:00:00 EDT 2025,25.44,,
Thu Jul 10 04:00:00 EDT 2025,,-4.00
Fri Jul 11 04:00:00 EDT 2025,4.73,,
Sat Jul 12 04:00:00 EDT 2025,5.29,,
Sun Jul 13 04:00:00 EDT 2025,5.99,,
Mon Jul 14 04:00:00 EDT 2025,,-0.19
Tue Jul 15 04:00:00 EDT 2025,4.43,,
Wed Jul 16 04:00:00 EDT 2025,,-210.32
Thu Jul 17 04:00:00 EDT 2025,186.55,,
Fri Jul 18 04:00:00 EDT 2025,,-84.87
Sat Jul 19 04:00:00 EDT 2025,137.10,,
Sun Jul 20 04:00:00 EDT 2025,46.33,,
Mon Jul 21 04:00:00 EDT 2025,6.53,,
Tue Jul 22 04:00:00 EDT 2025,4.68,,
Wed Jul 23 04:00:00 EDT 2025,,-11.17
Thu Jul 24 04:00:00 EDT 2025,1.27,,
Fri Jul 25 04:00:00 EDT 2025,0.53,,
Sat Jul 26 04:00:00 EDT 2025,2.48,,
Sun Jul 27 04:00:00 EDT 2025,1.99,,
Mon Jul 28 04:00:00 EDT 2025,,-0.46
Tue Jul 29 04:00:00 EDT 2025,,-5.40
Wed Jul 30 04:00:00 EDT 2025,23.61,,
Thu Jul 31 04:00:00 EDT 2025,12.96,,
Fri Aug 01 04:00:00 EDT 2025,20.60,,
Sat Aug 02 04:00:00 EDT 2025,,-30.92
Sun Aug 03 04:00:00 EDT 2025,52.67,,
Mon Aug 04 04:00:00 EDT 2025,4.09,,
Tue Aug 05 04:00:00 EDT 2025,,-3.08
Wed Aug 06 04:00:00 EDT 2025,3.63,,
Thu Aug 07 04:00:00 EDT 2025,2.12,,
Fri Aug 08 04:00:00 EDT 2025,1.98,,
Sat Aug 09 04:00:00 EDT 2025,9.75,,
Sun Aug 10 04:00:00 EDT 2025,3.31,,
Mon Aug 11 04:00:00 EDT 2025,1.77,,
Tue Aug 12 04:00:00 EDT 2025,4.48,,
Wed Aug 13 04:00:00 EDT 2025,26.37,,
Thu Aug 14 04:00:00 EDT 2025,,0.00
Fri Aug 15 04:00:00 EDT 2025,11.78,,
Sat Aug 16 04:00:00 EDT 2025,6.25,,
Sun Aug 17 04:00:00 EDT 2025,13.82,,
Mon Aug 18 04:00:00 EDT 2025,,-18.96
Tue Aug 19 04:00:00 EDT 2025,23.27,,
Wed Aug 20 04:00:00 EDT 2025,16.73,,
Thu Aug 21 04:00:00 EDT 2025,12.96,,
Fri Aug 22 04:00:00 EDT 2025,,0.00
Sat Aug 23 04:00:00 EDT 2025,,0.00
Sun Aug 24 04:00:00 EDT 2025,,0.00
Mon Aug 25 04:00:00 EDT 2025,,0.00
Tue Aug 26 04:00:00 EDT 2025,,0.00
Wed Aug 27 04:00:00 EDT 2025,,-47.96
Thu Aug 28 04:00:00 EDT 2025,32.92,,
Fri Aug 29 04:00:00 EDT 2025,,-10.19
Sat Aug 30 04:00:00 EDT 2025,51.64,,
Sun Aug 31 04:00:00 EDT 2025,6.23,,
Mon Sep 01 04:00:00 EDT 2025,6.74,,
